	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	gamma	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	rho	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau	tau
ABCG2	all	0.3692763466642851	0.014887627186941392	9	9	all	0.9635021983431445	-0.015726919000813754	10	10	all	0.9823221707103871	0.008932742799671439	9	9	all	0.944379019361602	-0.0041378648091015035	9	9	all	0.2858897889742593	0.022519491857453708	10.0	10.0	all	0.41340381467078957	0.008668708743349187	9.0	9.0	all	0.18829510957369422	0.12199577241997461	8	8	all	0.2856735814462448	0.046607079524362736	10	10	all	0.23312654874930316	0.054702535199195046	8	8
ABHD17A	all	0.529523692278473	-0.04151889669860893	10	10	all	0.6767071113587856	-0.018345579073648626	10	10	all	0.9743809149518803	-0.010042934902747403	10	10	all	0.10333965035683274	-0.06147703801264063	9	9	all	0.04763168741347129	-0.030877838002183217	9.0	9.0	all	0.05313788433726364	-0.11122512894466864	9.0	9.0	all	0.16497534273405012	-0.4736816827588819	10	10	all	0.05214202522246078	-0.1538607556515105	10	10	all	0.0239901427402122	-0.3191740929132141	10	10
ABI1	all	0.19815987411410807	0.030882967040591933	6	6	ENST00000376170.4,ENST00000376142.2,ENST00000359188.4,ENST00000376140.3	0.14938297996573818	-0.03332281324697571	1	1	all	0.13674294247840293	0.023226254544280827	6	6	ENST00000376170.4,ENST00000376142.2,ENST00000359188.4,ENST00000376138.3,ENST00000355394.4,ENST00000346832.5,ENST00000376134.3,ENST00000376137.4,ENST00000536334.1	0.03848808230482685	-0.08341100173972486	3	3	ENST00000376170.4,ENST00000376142.2,ENST00000359188.4,ENST00000376140.3	0.1704579786323812	0.0748881016625658	1.0	1.0	ENST00000376170.4,ENST00000376142.2,ENST00000359188.4,ENST00000376138.3,ENST00000355394.4,ENST00000346832.5,ENST00000376134.3,ENST00000376137.4,ENST00000536334.1	0.11831003150508511	-0.04084666297048117	3.0	3.0	ENST00000376170.4,ENST00000376142.2,ENST00000359188.4,ENST00000376138.3,ENST00000355394.4,ENST00000346832.5,ENST00000376134.3,ENST00000376137.4,ENST00000536334.1	0.03265491705856219	-0.2476364369688223	3	3	ENST00000376170.4,ENST00000376142.2,ENST00000359188.4,ENST00000376138.3,ENST00000376140.3	0.17116781043787666	-0.13382291075200134	3	3	ENST00000376170.4,ENST00000376142.2,ENST00000359188.4,ENST00000376138.3,ENST00000355394.4,ENST00000346832.5,ENST00000376134.3,ENST00000376137.4,ENST00000536334.1	0.18185900248929676	-0.11551808974007054	3	3
ABLIM2	all	0.6531932489290572	-0.010648950266479941	9	9	all	0.9555496893839435	-0.011694807780312616	9	9	all	0.6927870011083782	-0.009530111118157077	9	9	all	0.28110547318135704	0.037546107585553504	9	9	all	0.07231242864972863	-0.0960107492847363	9.0	9.0	all	0.6184768969045756	-0.024221269272555985	9.0	9.0	all	0.3826850004239615	0.21036515301266678	9	9	all	0.1756034364975746	-0.4087792681346083	9	9	all	0.49757078111488706	-0.09567350642190199	9	9
ABTB1	all	0.3849591919257471	-0.06530277496464203	10	10	all	0.5284511692205756	-0.061725587049252344	10	10	all	0.5549575642826305	-0.07989984468658366	10	10	all	0.22298584939332933	0.06968051740830382	9	9	all	0.21452946961024877	0.11879859116324847	9.0	9.0	all	0.0673798138288955	0.07502854416259086	9.0	9.0	all	0.6504377425897394	-0.12138513676335216	10	10	all	0.41136649217963683	0.09562927385778242	10	10	all	0.15313195634366053	-0.10285433247634361	10	10
ACADM	ENST00000420607.2	0.05235491352096709	-0.046319689930236864	10	10	ENST00000420607.2	0.22152615136540177	0.003160574820511739	10	10	ENST00000370841.4	0.3845931642521425	-0.011543313746939282	10	10	ENST00000420607.2	0.0474216897588939	0.09900962634723924	10	10	ENST00000420607.2	0.3632997427616558	-0.07941976122505123	10.0	10.0	ENST00000420607.2	0.5066926207255886	-0.028622507672372108	10.0	10.0	ENST00000420607.2	0.3928047396063802	0.10807030695219111	10	10	ENST00000420607.2	0.5522579023322072	-0.21162786942213874	10	10	ENST00000420607.2	0.9836308437523491	-0.09854060627946175	10	10
ACO2	all	0.5753810898806132	-0.012547815240288628	10	10	all	0.11021402332445386	-0.03454780260507687	10	10	all	0.11985987570681178	-0.026661828797626515	10	10	all	0.969660692589903	0.052797855441719034	10	10	all	0.904594970004525	0.03340837850076355	10.0	10.0	all	0.9467091572458355	0.06135495160179097	10.0	10.0	all	0.9080657405022161	0.12158792781383514	10	10	all	0.6620030787357087	0.029855882181543947	10	10	all	0.5962333940699804	0.17149962568224608	10	10
ACOT6	all	0.9027414636493988	0.021744951900987755	10	10	all	0.6882863294475103	0.026407434142929124	10	10	all	0.6464361122840515	0.016501211840112218	10	10	all	0.20219509766754884	0.033426088570836204	10	10	all	0.7206535211854342	-0.0554384333488612	10.0	10.0	all	0.31412659275891974	0.0035743282946598606	10.0	10.0	all	0.09652465631726019	0.30066876889287325	9	9	all	0.5128964662392503	0.01637876400243113	10	10	all	0.26365166014952723	0.1646451602383562	9	9
ACSBG1	all	0.12605338458956003	-0.032635946089906186	10	10	all	0.13407648926227683	-0.02926501791406122	10	10	all	0.03282542995992394	-0.02429089365077183	10	10	all	0.6104052145500893	0.012232703233308287	10	10	all	0.6599274385425293	0.03735673233343819	10.0	10.0	all	0.4884265396465334	0.053785892376632706	10.0	10.0	all	0.844676290503098	-0.04267855354179068	10	10	all	0.9740271470037273	-0.08838981179392102	10	10	all	0.8623449637063904	0.023796776418343917	10	10
ACSL5	ENST00000354655.4	0.1670760745127915	0.024154240759317852	9	9	ENST00000393081.1	0.12894775826891358	0.02385782111831108	6	6	ENST00000393081.1	0.5781061354911308	0.007918778096588622	6	6	ENST00000354273.4	0.18263773007908934	-0.13048902961319545	9	9	ENST00000354273.4	0.3270700879363928	0.022571879533688957	9.0	9.0	ENST00000354273.4	0.09301003368689012	-0.08231388144862477	9.0	9.0	ENST00000393081.1	0.2900730922173088	-0.09163385910340115	6	6	ENST00000354273.4	0.16127880132799854	-0.3934223021415484	10	10	ENST00000354273.4	0.17234928876230537	-0.2545409348912497	9	9
ACSL6	ENST00000379244.1	0.06264923130962706	-0.02444719549061174	6	6	ENST00000543479.1	0.3093052035761683	-0.03317090041594845	7	7	ENST00000379244.1	0.10694553783787829	-0.02886023157496576	6	6	ENST00000379240.1	0.21933515341254206	-0.054780984836760145	8	8	ENST00000543479.1	0.25900980044868926	0.020055603575008244	7.0	7.0	ENST00000379240.1	0.3363304149361035	-0.032322306760779115	8.0	8.0	ENST00000379240.1	0.28055880843007386	-0.10872905913024077	8	8	ENST00000543479.1	0.41793623694952486	-0.018902969831876042	7	7	ENST00000379240.1	0.38672978321880325	-0.08391987533123228	8	8
ACSS1	all	0.7650956078930113	-0.006527251041697965	10	10	all	0.016272256284754632	-0.026926462411567004	10	10	all	0.050023373031406436	-0.017917073870445707	10	10	all	0.10920431663444513	-0.09222439003846543	10	10	all	0.27489014473344664	0.11533772677343553	10.0	10.0	all	0.909183812685292	-0.020542514332394065	10.0	10.0	all	0.1345379819925443	-0.26918625505765975	10	10	all	0.7104592212827197	-0.11219999525055979	10	10	all	0.6210076807150197	-0.2262375624889986	10	10
ACTA2	ENST00000224784.6	0.19089946858459095	-0.03874623316653906	10	10	ENST00000224784.6	0.04789539548021519	-0.04606286311412016	10	10	ENST00000224784.6	0.003351628182174754	-0.02577727828616992	10	10	ENST00000224784.6	0.4020681807862899	0.025907543272269313	10	10	ENST00000224784.6	0.1284266216374463	0.1658444149229343	10.0	10.0	ENST00000224784.6	0.1349425213204354	0.10699962434720596	10.0	10.0	ENST00000458208.1	0.7227407769807885	-0.05478023332869806	10	10	ENST00000224784.6	0.44184522392684145	0.27403636841865603	10	10	ENST00000224784.6	0.7230215722953144	0.1813139288016924	10	10
ACTB	all	0.4680202198031914	-0.012925004818684157	10	10	all	0.25148879858271156	-0.0340328725674772	10	10	all	0.2715855552378258	-0.026663726159030843	10	10	all	0.8797051205274514	-0.04921174725400442	10	10	all	0.8718792846367636	0.03858932668397537	10.0	10.0	all	0.9952098617851488	-0.022888049752112515	10.0	10.0	all	0.8599768813600772	-0.12052317302695158	10	10	all	0.6154810561990804	-0.10007474124256793	10	10	all	0.5029699344937012	-0.09555472414846045	10	10
ACTG1	all	0.7895717786595176	-0.054609420396477405	10	10	all	0.20882627738002857	-0.06680073255904197	10	10	all	0.22098583404849004	-0.04720447231455626	10	10	all	0.8607164598625426	0.02398939772321461	9	9	all	0.45228552402061795	0.041954627876969575	9.0	9.0	all	0.4265390194272416	0.02592731682240701	9.0	9.0	all	0.8232369304487517	-0.22951711462559668	9	9	all	0.9080164655761029	-0.47762512974061705	10	10	all	0.8230994138476172	-0.265579601041338	9	9
ACTL6B	all	0.582658912900399	-0.006791150874226842	9	9	all	0.4572841131138283	0.00955974668507041	9	9	all	0.8556923956211085	0.009587353860056397	9	9	all	0.14938292638668374	0.13400307222572963	9	9	all	0.24342633137995717	-0.027944633983420255	9.0	9.0	all	0.6166932140656034	0.029024392470437824	9.0	9.0	all	0.25515683756920626	0.3703856264747741	9	9	all	0.503467266730361	-0.23135855565080457	9	9	all	0.6828939235553888	0.0905105291539197	9	9
ACTR3	all	0.500019330780213	-0.009360637703096458	10	10	all	0.21900203488622005	-0.032945032100870277	10	10	all	0.08639217286888308	-0.0074202785061624615	10	10	all	0.2740122644301387	-0.09696805356328482	10	10	all	0.8000699682080628	-0.1319435057441869	10.0	10.0	all	0.3884042359596098	-0.06608910496007486	10.0	10.0	all	0.11722514358817453	-0.217063104370251	10	10	all	0.5774880478327915	-0.49282056160989995	10	10	all	0.22088093265630426	-0.3355658555128948	10	10
ACTR3B	all	0.08110829746561624	-0.03154344292112838	10	10	all	0.11956526773677625	0.006697045643071507	10	10	all	0.8215180557645251	-0.01124084478676604	10	10	all	0.5539163473952833	0.021697415495064043	10	10	all	0.9200688943495299	-0.02288339165388632	10.0	10.0	all	0.9613744186819795	0.02434116853320577	10.0	10.0	all	0.9603014655890323	-0.24426625054352505	10	10	all	0.7902224010619667	0.031542085147421066	10	10	all	0.9221243709571527	0.05086849474804305	10	10
ACTR8	all	0.03400987722190195	-0.10268081815576446	10	10	all	0.022255056333567128	-0.11195586199147955	10	10	all	0.04128617788734676	-0.10731834007362201	10	10	all	0.0019033741560476694	-0.4365374063825222	10	10	all	0.10274103822574861	-0.4128518862136455	9.0	9.0	all	0.012802854204763715	-0.42849589031423957	9.0	9.0	all	0.003241284252287744	-1.5448224921497244	9	9	all	0.02578585894299036	-2.1030674409266426	10	10	all	0.002201966655591212	-1.8239449665381837	9	9
ACYP1	all	0.770515471439516	-0.012819851073786295	10	10	all	0.485285130288153	-0.007782632064699736	10	10	all	0.4354723396374752	-0.013258782874461519	10	10	all	0.6257588815135091	-0.07871363088543526	10	10	all	0.46423234329212415	-0.022268145890756142	10.0	10.0	all	0.32423691298360136	-0.02040200346660076	10.0	10.0	all	0.4497763953168329	-0.1642915388548469	10	10	all	0.38152347541420206	-0.22776633351020403	10	10	all	0.18766375860096418	-0.04878502680776142	10	10
ADA	all	0.3882022255180204	-0.02999266993932047	10	10	all	0.134178977173107	-0.016803892668918123	10	10	all	0.07537435979550423	-0.023097619608542463	10	10	all	0.6572390625005828	-0.012536889894101873	10	10	all	0.717972869607455	-0.11136692040139118	10.0	10.0	all	0.4844161671821968	-0.02466723174169222	10.0	10.0	all	0.42904340120413786	-0.14375018758971023	10	10	all	0.22301929832713818	-0.3215660881954922	10	10	all	0.12016715985607106	-0.1931996405862876	10	10
ADAM12	all	0.4166749567589608	0.04298164920762953	9	9	all	0.15485377273736833	0.01951409677912809	9	9	all	0.10150966343649195	0.01833938861586451	9	9	all	0.07216592873341916	-0.10779486493905131	9	9	all	0.6375543208402692	-0.025489995746827056	9.0	9.0	all	0.12201676025273987	-0.0718936641172883	9.0	9.0	all	0.2602310727050411	-0.08595785128384964	8	8	all	0.6177358650412101	-0.07661034295137915	9	9	all	0.49358464328222973	-0.04094840807723273	8	8
ADAM15	all	0.1682976203622627	0.002761352203794261	10	10	all	0.4301404743465769	0.017361557222730303	10	10	all	0.1770194451887146	0.009838422128564917	10	10	all	0.8219531139207522	0.01626924101561154	10	10	all	0.9834797754272896	0.08680837639100901	10.0	10.0	all	0.9486211003378532	0.04754426998800352	10.0	10.0	all	0.6271041954470564	0.3199971281696508	10	10	all	0.7264896644051256	0.3151011097027862	10	10	all	0.8826245907420192	0.3342492529151961	10	10
ADAM17	all	0.3157576673852993	-0.0075287333209785355	10	10	all	0.6856743645106929	0.008180228056602868	10	10	all	0.2313257389690625	-0.0024842853423894472	10	10	all	0.24170753583151716	0.033948129127172065	10	10	all	0.07941673794399179	-0.020375685306005007	10.0	10.0	all	0.966478698399966	-0.02714947803221503	10.0	10.0	all	0.46837455984856935	0.19801610092940666	10	10	all	0.06376566456243245	-0.19011309389763306	10	10	all	0.4273517638962371	-0.054404422780697494	10	10
ADAM19	all	0.590382234217514	-0.015088344221267003	9	9	all	0.6236190499611416	-0.005858138938539068	10	10	all	0.6471060792158416	-0.01155140650029217	9	9	all	0.3104211398068636	-0.058835091136703675	9	9	all	0.4155450684531654	-0.045071644741096505	9.0	9.0	all	0.9266938582972988	-0.033734888057612517	9.0	9.0	all	0.19432424906132706	-0.0755467783070533	9	9	all	0.7513620484575716	-0.5247735650346609	10	10	all	0.7687733789470367	-0.09008517529481397	9	9
ADAM22	ENST00000398204.4,ENST00000398201.4,ENST00000265727.7,ENST00000315984.7	0.2609705963529587	0.010842783294501787	3	3	all	0.1820086252989721	0.017139293311909262	5	5	ENST00000398204.4,ENST00000398201.4,ENST00000265727.7,ENST00000315984.7	0.2208619618639659	0.008162708418938952	3	3	all	0.06886321827713268	0.05221058086366822	4	4	ENST00000398204.4,ENST00000398201.4	0.2662468735611555	0.05531586119494997	1.0	1.0	ENST00000398204.4,ENST00000398201.4,ENST00000265727.7,ENST00000315984.7	0.12646120880027262	-0.035401699711039396	3.0	3.0	all	0.11139015017381008	0.13330678645358737	4	4	ENST00000398204.4,ENST00000398201.4	0.18138132028600518	0.22189609039844807	1	1	all	0.28908007708911265	0.06873100510584133	4	4
ADAM28	all	0.548009293832763	0.003627394494287906	10	10	all	0.9836343542034625	-0.01213519407602263	10	10	all	0.6424547333766492	-0.010030398638602443	10	10	all	0.0967513146930412	-0.1294652218202983	10	10	all	0.12033082726415355	0.06360531465035467	10.0	10.0	all	0.5031129821242355	-0.010721556912763346	10.0	10.0	all	0.09625424423897871	-0.158852552783756	10	10	all	0.12179234041512572	0.16839431607805885	10	10	all	0.7779358252106279	-0.044588975219158444	10	10
ADAMTS12	all	0.17833050150588836	-0.04544175497095534	9	9	all	0.5326639643840592	-0.00801888851730892	9	9	all	0.15923764146199249	-0.0249491402948786	9	9	all	0.08244753015672154	0.09367142097450032	9	9	all	0.6620318631892185	-0.019772992898514658	9.0	9.0	all	0.2940871697700045	0.04532249393609323	9.0	9.0	all	0.4150640665273657	0.20531466510384	9	9	all	0.5733537177685054	-0.08430480257597461	9	9	all	0.9387965016330372	-0.0017865708573896928	9	9
ADAMTS20	all	0.9610152638755034	-0.023705935287427166	10	10	all	0.33598626301198653	-0.03902572578173979	10	10	all	0.9503667728316033	-0.037810774447026595	10	10	all	0.5264063140072086	0.010628601716185473	10	10	all	0.9738725730124677	-0.0304013634492057	9.0	9.0	all	0.946162328740693	-0.0646037155328252	9.0	9.0	all	0.47647368531060597	-0.09296794932911993	10	10	all	0.4969172151215626	-0.2517091258518174	10	10	all	0.7637838431924319	-0.35115631641656125	10	10
